Seconds, SoC(%), Amps, GearMode, Odometer(miles), Trip(miles), Speed(mph), Contr. Temp (C), SideStand (1/0)
-3.5041808E-08,0,0,,0,0,0,0,0
0.008799965,0,0,,0,0,0,0,0
0.016999966,0,0,,0,0,0,0,0
0.025999965,0,0,,0,0,0,0,0
0.033341967,0,0,,0,0,0,0,0
0.040999964,100,0,,0,0,0,0,0
0.048999965,100,0,,0,0,0,0,0
0.056999967,100,0,,0,0,0,0,0
0.06599996,100,0,,0,0,0,0,0
0.07336296,100,0,,0,0,0,0,0
0.08099996,100,0,,0,0,0,0,0
0.088999964,100,0,,0,0,0,0,0
0.096999966,100,0,,0,0,0,0,0
0.10699996,100,0,,0,0,0,0,0
0.114999965,100,0,,0,0,0,0,0
0.12599997,100,0,,0,0,0,0,0
0.13334396,100,0,,0,0,0,0,0
0.14099996,100,0,,0,0,0,0,0
0.14899996,100,0,,0,0,0,0,0
0.16599996,100,0,,0,0,0,0,0
0.17538996,100,0,,0,0,0,0,0
0.18299997,100,0,,0,0,0,0,0
0.19099997,100,0,,0,0,0,0,0
0.19834797,100,0,,0,0,0,0,0
0.20599997,100,0,,0,0,0,0,0
0.22599997,100,0,,0,0,0,0,0
0.23564397,100,0,,0,0,0,0,0
0.24599996,100,0,,0,0,0,0,0
0.25699997,100,0,,0,0,0,0,0
0.26499996,100,0,,0,0,0,0,0
0.27299997,100,0,,0,0,0,0,0
0.28034696,100,0,,0,0,0,0,0
0.28799996,100,0,,0,0,0,0,0
0.29534498,100,0,,0,0,0,0,0
0.30599996,100,0,,0,0,0,0,0
0.31334695,100,0,,0,0,0,0,0
0.32599998,100,0,,0,0,0,0,0
0.33329496,100,0,,0,0,0,0,0
0.34599996,100,0,,0,0,0,0,0
0.35334197,100,0,,0,0,0,0,0
0.36099997,100,0,,0,0,0,0,0
0.37099996,100,0,,0,0,0,22,1
0.37834397,100,0,,0,0,0,22,1
0.38599998,100,0,,0,0,0,22,1
0.40599996,100,0,,0,0,0,22,1
0.41598797,100,0,,0,0,0,22,1
0.42599997,100,0,,0,0,0,22,1
0.43335497,100,0,,0,0,0,22,1
0.44599995,100,0,,0,0,0,22,1
0.45335096,100,0,,0,0,0,22,1
0.46099997,100,0,,0,0,0,22,1
0.46899995,100,0,,0,0,0,22,1
0.47635296,100,0,,0,0,0,22,1
0.48599997,100,0,,0,0,0,22,1
0.49567798,100,0,,0,0,0,22,1
0.506,100,0,,0,0,0,22,1
0.51333994,100,0,,0,0,0,22,1
0.52599996,100,0,,0,0,0,22,1
0.533331,100,0,,0,0,0,22,1
0.54599994,100,0,,0,0,0,22,1
0.55334395,100,0,,0,0,0,22,1
0.561,100,0,,0,0,0,22,1
0.56899995,100,0,,0,0,0,22,1
0.57632,100,0,,0,0,0,22,1
0.58599997,100,0,,0,0,0,22,1
0.593372,100,0,,0,0,0,22,1
0.60599995,100,0,,0,0,0,22,1
0.61325294,100,0,,0,0,0,22,1
0.626,100,0,,0,0,0,22,1
0.63566095,100,0,,0,0,0,22,1
0.64599997,100,0,,0,0,0,22,1
0.65325695,100,0,,0,0,0,22,1
0.687,100,0,,0,0,0,22,1
0.695408,100,0,,0,0,0,22,1
0.706,100,0,,0,0,0,22,1
0.71327794,100,0,,0,0,0,22,1
0.72599995,100,0,,0,0,0,22,1
0.73658496,100,0,,0,0,0,22,1
0.746,100,0,,0,0,0,22,1
0.75333,100,0,,0,0,0,22,1
0.761,100,0,,0,0,0,22,1
0.769,100,0,,0,0,0,22,1
0.77631396,100,0,,0,0,0,22,1
0.78699994,100,0,,0,0,0,22,1
0.794325,100,0,,0,0,0,22,1
0.806,100,0,,0,0,0,22,1
0.81332695,100,0,,0,0,0,22,1
0.826,100,0,,0,0,0,22,1
0.83331794,100,0,,0,0,0,22,1
0.84599996,100,0,,0,0,0,22,1
0.85332197,100,0,,0,0,0,22,1
0.86099994,100,0,,0,0,0,22,1
0.86899996,100,0,,0,0,0,22,1
0.87633294,100,0,,0,0,0,22,1
0.886,100,0,,0,0,0,22,1
0.89333296,100,0,,0,0,0,22,1
0.90599996,100,0,,0,0,0,22,1
0.91564995,100,0,,0,0,0,22,1
0.92599994,100,0,,0,0,0,22,1
0.93332094,100,0,,0,0,0,22,1
0.946,100,0,,0,0,0,22,1
0.953321,100,0,,0,0,0,22,1
0.96099997,100,0,,0,0,0,22,1
0.969,100,0,,0,0,0,22,1
0.97631395,100,0,,0,0,0,22,1
0.98599994,100,0,,0,0,0,22,1
0.99331397,100,0,,0,0,0,22,1
1.0059999,100,0,,0,0,0,22,1
1.013314,100,0,,0,0,0,22,1
1.026,100,0,,0,0,0,22,1
1.0333179,100,0,,0,0,0,22,1
1.046,100,0,,0,0,0,22,1
1.057913,100,0,,0,0,0,22,1
1.066,100,0,,0,0,0,22,1
1.073324,100,0,,0,0,0,22,1
1.081,100,0,,0,0,0,22,1
1.089,100,0,,0,0,0,22,1
1.097,100,0,,0,0,0,22,1
1.106,100,0,,0,0,0,22,1
1.1133419,100,0,,0,0,0,22,1
1.1259999,100,0,,0,0,0,22,1
1.1353849,100,0,,0,0,0,22,1
1.1459999,100,0,,0,0,0,22,1
1.153337,100,0,,0,0,0,22,1
1.166,100,0,,0,0,0,22,1
1.173342,100,0,,0,0,0,22,1
1.184,100,0,,0,0,0,22,1
1.1919999,100,0,,0,0,0,22,1
1.1999999,100,0,,0,0,0,22,1
1.208,100,0,,0,0,0,22,1
1.217,100,0,,0,0,0,22,1
1.226,100,0,,0,0,0,22,1
1.233318,100,0,,0,0,0,22,1
1.2409999,100,0,,0,0,0,22,1
1.249,100,0,,0,0,0,22,1
1.257,100,0,,0,0,0,22,1
1.2659999,100,0,,0,0,0,22,1
1.273278,100,0,,0,0,0,22,1
1.281,100,0,,0,0,0,22,1
1.2889999,100,0,,0,0,0,22,1
1.2985309,100,0,,0,0,0,22,1
1.3069999,100,0,,0,0,0,22,1
1.314338,100,0,,0,0,0,22,1
1.3219999,100,0,,0,0,0,22,1
1.3299999,100,0,,0,0,0,22,1
1.337279,100,0,,0,0,0,22,1
1.3449999,100,0,,0,0,0,22,1
1.3529999,100,0,PARK,0,0,0,22,1
1.360287,100,0,PARK,0,0,0,22,1
1.3679999,100,0,PARK,0,0,0,22,1
1.375328,100,0,PARK,0,0,0,22,1
1.383,100,0,PARK,0,0,0,22,1
1.3902949,100,0,PARK,0,0,0,22,1
1.398,100,0,PARK,0,0,0,22,1
1.4052839,100,0,PARK,0,0,0,22,1
1.416,100,0,PARK,0,0,0,22,1
1.423275,100,0,PARK,0,0,0,22,1
1.431,100,0,PARK,0,0,0,22,1
1.4383199,100,0,PARK,121.19329,24.114357,0,22,1
1.446,100,0,PARK,121.19329,24.114357,0,22,1
1.453274,100,0,PARK,121.19329,24.114357,0,22,1
1.461,100,0,PARK,121.19329,24.114357,0,22,1
1.469,100,0,PARK,121.19329,24.114357,0,22,1
1.4762549,100,0,PARK,121.19329,24.114357,0,22,1
1.484,100,0,PARK,121.19329,24.114357,0,22,1
1.492,100,0,PARK,121.19329,24.114357,0,22,1
1.499278,100,0,PARK,121.19329,24.114357,0,22,1
1.507,100,0,PARK,121.19329,24.114357,0,22,1
1.514324,100,0,PARK,121.19329,24.114357,0,22,1
1.522,100,0,PARK,121.19329,24.114357,0,22,1
1.532,100,0,PARK,121.19329,24.114357,0,22,1
1.5393499,100,0,PARK,121.19329,24.114357,0,22,1
1.5469999,100,0,PARK,121.19329,24.114357,0,22,1
1.554331,100,0,PARK,121.19329,24.114357,0,22,1
1.5619999,100,0,PARK,121.19329,24.114357,0,22,1
1.5699999,100,0,PARK,121.19329,24.114357,0,22,1
1.577287,100,0,PARK,121.19329,24.114357,0,22,1
1.5849999,100,0,PARK,121.19329,24.114357,0,22,1
1.5929999,100,0,PARK,121.19329,24.114357,0,22,1
1.600294,100,0,PARK,121.19329,24.114357,0,22,1
1.6079999,100,0,PARK,121.19329,24.114357,0,22,1
1.6153309,100,0,PARK,121.19329,24.114357,0,22,1
1.6229999,100,0,PARK,121.19329,24.114357,0,22,1
1.6309999,100,0,PARK,121.19329,24.114357,0,22,1
1.638278,100,0,PARK,121.19329,24.114357,0,22,1
1.6459999,100,0,PARK,121.19329,24.114357,0,22,1
