Seconds, SoC(%), Amps, GearMode, Odometer(miles), Trip(miles), Speed(mph), Contr. Temp (C), SideStand (1/0), %SoCPPM, AvgPPM, BATVolts, BATWatts, WH/MI, AVG WH/MI, AVG MPH LOG, 0x67, 0x101_D2
-3.5041808E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008799965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016999966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025999965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.033341967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.040999964,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.048999965,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.056999967,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06599996,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07336296,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08099996,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.088999964,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.096999966,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10699996,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.114999965,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12599997,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13334396,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.14099996,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.14899996,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16599996,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17538996,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.18299997,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.19099997,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.19834797,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.20599997,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.22599997,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23564397,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24599996,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25699997,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.26499996,100,0,0,0,0,0,0,0,0,0,82.51,0,0,0,0,0,0
0.27299997,100,0,0,0,0,0,0,0,0,0,82.51,0,0,0,0,0,0
0.28034696,100,0,0,0,0,0,0,0,0,0,82.51,0,0,0,0,0,0
0.28799996,100,0,0,0,0,0,0,0,0,0,82.51,0,0,0,0,0,0
0.29534498,100,0,0,0,0,0,0,0,0,0,82.51,0,0,0,0,0,0
0.30599996,100,0,0,0,0,0,0,0,0,0,82.51,0,0,0,0,0,0
0.31334695,100,0,0,0,0,0,0,0,0,0,82.51,0,0,0,0,0,0
0.32599998,100,0,0,0,0,0,0,0,0,0,82.51,0,0,0,0,0,0
0.33329496,100,0,0,0,0,0,0,0,0,0,82.51,0,0,0,0,0,0
0.34599996,100,0,0,0,0,0,0,0,0,0,82.51,0,0,0,0,0,0
0.35334197,100,0,0,0,0,0,0,0,0,0,82.51,0,0,0,0,0,0
0.36099997,100,0,0,0,0,0,0,0,0,0,82.51,0,0,0,0,0,0
0.37099996,100,0,0,0,0,0,22,1,0,0,82.51,0,0,0,0,0,14
0.37834397,100,0,0,0,0,0,22,1,0,0,82.51,0,0,0,0,0,14
0.38599998,100,0,0,0,0,0,22,1,0,0,82.51,0,0,0,0,0,14
0.40599996,100,0,0,0,0,0,22,1,0,0,82.51,0,0,0,0,0,14
0.41598797,100,0,0,0,0,0,22,1,0,0,82.51,0,0,0,0,0,14
0.42599997,100,0,0,0,0,0,22,1,0,0,82.51,0,0,0,0,0,14
0.43335497,100,0,0,0,0,0,22,1,0,0,82.51,0,0,0,0,0,14
0.44599995,100,0,0,0,0,0,22,1,0,0,82.51,0,0,0,0,0,14
0.45335096,100,0,0,0,0,0,22,1,0,0,82.51,0,0,0,0,0,14
0.46099997,100,0,0,0,0,0,22,1,0,0,82.51,0,0,0,0,0,14
0.46899995,100,0,0,0,0,0,22,1,0,0,82.51,0,0,0,0,0,14
0.47635296,100,0,0,0,0,0,22,1,0,0,82.51,0,0,0,0,0,14
0.48599997,100,0,0,0,0,0,22,1,0,0,82.51,0,0,0,0,0,14
0.49567798,100,0,0,0,0,0,22,1,0,0,82.51,0,0,0,0,0,14
0.506,100,0,0,0,0,0,22,1,0,0,82.51,0,0,0,0,0,14
0.51333994,100,0,0,0,0,0,22,1,0,0,82.51,0,0,0,0,0,14
0.52599996,100,0,0,0,0,0,22,1,0,0,82.51,0,0,0,0,0,14
0.533331,100,0,0,0,0,0,22,1,0,0,82.51,0,0,0,0,0,14
0.54599994,100,0,0,0,0,0,22,1,0,0,82.51,0,0,0,0,0,14
0.55334395,100,0,0,0,0,0,22,1,0,0,82.51,0,0,0,0,0,14
0.561,100,0,0,0,0,0,22,1,0,0,82.51,0,0,0,0,0,14
0.56899995,100,0,0,0,0,0,22,1,0,0,82.51,0,0,0,0,0,14
0.57632,100,0,0,0,0,0,22,1,0,0,82.51,0,0,0,0,0,14
0.58599997,100,0,0,0,0,0,22,1,0,0,82.51,0,0,0,0,0,14
0.593372,100,0,0,0,0,0,22,1,0,0,82.51,0,0,0,0,0,14
0.60599995,100,0,0,0,0,0,22,1,0,0,82.51,0,0,0,0,0,14
0.61325294,100,0,0,0,0,0,22,1,0,0,82.51,0,0,0,0,0,14
0.626,100,0,0,0,0,0,22,1,0,0,82.51,0,0,0,0,0,14
0.63566095,100,0,0,0,0,0,22,1,0,0,82.51,0,0,0,0,0,14
0.64599997,100,0,0,0,0,0,22,1,0,0,82.51,0,0,0,0,0,14
0.65325695,100,0,0,0,0,0,22,1,0,0,82.51,0,0,0,0,0,14
0.687,100,0,0,0,0,0,22,1,0,0,82.51,0,0,0,0,0,14
0.695408,100,0,0,0,0,0,22,1,0,0,82.51,0,0,0,0,0,14
